lex	word	POS	род	падеж	число	вид	переходность	время	наклонение	лицо	форма прилагательных	залог	степень сравнения
сюртук	сюртуке	S	муж	пр	ед								
а	а	CONJ											
держать	держал	V	муж		ед	несов	пе	прош	изъяв				
открытый	открытый	A	муж	вин	ед						полн		
стол	стол	S	муж	вин	ед								
для	для	PR											
весь	всех	APRO		пр	мн								
офицер	офицеров	S	муж	вин	мн								
наш	нашего	APRO	муж	вин	ед								
полк	полка	S	муж	род	ед								
правда	правда	ADV											
обед	обед	S	муж	вин	ед								
его	его	APRO	жен	пр	мн								
состоять	состоял	V	муж		ед	несов	нп	прош	изъяв				
из	из	PR											
два	двух	NUM	муж	пр									
или	или	CONJ											
три	трех	NUM		пр									
блюдо	блюд	S	сред	род	мн								
изготавливать	изготовленных	V		пр	мн	сов	пе	прош	прич		полн	страд	
отставной	отставным	A	муж	дат	мн						полн		
солдат	солдатом	S	муж	твор	ед								
но	но	CONJ											
шампанское	шампанское	S	сред	вин	ед								
литься	лилось	V	сред		ед	несов	нп	прош	изъяв				
притом	притом	CONJ											
река	рекою	S	жен	твор	ед								
никто	никто	SPRO	муж	им	ед								
не	не	PART											
знать	знал	V	муж		ед	несов	пе	прош	изъяв				
ни	ни	CONJ											
его	его	APRO	жен	пр	мн								
состояние	состояния	S	сред	вин	мн								
ни	ни	CONJ											
его	его	APRO	жен	пр	мн								
доход	доходов	S	муж	род	мн								
и	и	CONJ											
никто	никто	SPRO	муж	им	ед								
не	не	PART											
осмеливаться	осмеливался	V	муж		ед	несов	нп	прош	изъяв				
о	о	PR											
то	том	SPRO	сред	пр	ед								
он	его	SPRO	муж	вин	ед					3-л			
спрашивать	спрашивать	V				несов	пе		инф				
у	у	PR											
он	него	SPRO	муж	вин	ед					3-л			
водиться	водились	V			мн	несов	нп	прош	изъяв				
книга	книги	S	жен	вин	мн								
больший	большею	A	жен	твор	ед						полн		
часть	частию	S	жен	твор	ед								
военный	военные	S	муж	им	мн								
да	да	CONJ											
роман	романы	S	муж	вин	мн								
он	он	SPRO	муж	им	ед					3-л			
охотно	охотно	ADV											
давать	давал	V	муж		ед	несов	пе	прош	изъяв				
они	их	SPRO		вин	мн								
читать	читать	V				несов	пе		инф				
никогда	никогда	ADVPRO											
не	не	PART											
требовать	требуя	V				несов	пе	непрош	деепр				
они	их	SPRO		вин	мн								
назад	назад	ADV											
зато	зато	CONJ											
никогда	никогда	ADVPRO											
не	не	PART											
возвращать	возвращал	V	муж		ед	несов	пе	прош	изъяв				
хозяин	хозяину	S	муж	дат	ед								
книга	книги	S	жен	вин	мн								
они	им	SPRO		дат	мн								
занимать	занятой	V	жен	пр	ед	сов		прош	прич		полн	страд	
главный	главное	A	сред	вин	ед						полн		
упражнение	упражнение	S	сред	вин	ед								
его	его	APRO	жен	пр	мн								
состоять	состояло	V	сред		ед	несов	нп	прош	изъяв				
в	в	PR											
стрельба	стрельбе	S	жен	пр	ед								
из	из	PR											
пистолет	пистолета	S	муж	род	ед								
стена	стены	S	жен	вин	мн								
его	его	APRO	жен	пр	мн								
комната	комнаты	S	жен	вин	мн								
быть	были	V			мн	несов	нп	прош	изъяв				
весь	все	APRO	сред	им	мн								
источать	источены	V			мн	сов	пе	прош	прич		кр	страд	
пуля	пулями	S	жен	твор	мн								
все	все	SPRO		вин	мн								
в	в	PR											
скважина	скважинах	S	жен	пр	мн								
как	как	CONJ											
соты	соты	S		вин	мн								
пчелиный	пчелиные	A		вин	мн						полн		
богатый	богатое	A	сред	вин	ед						полн		
собрание	собрание	S	сред	вин	ед								
пистолет	пистолетов	S	муж	род	мн								
быть	было	V	сред		ед	несов	нп	прош	изъяв				
единственный	единственной	A	жен	пр	ед						полн		
роскошь	роскошью	S	жен	твор	ед								
бедный	бедной	A	жен	пр	ед						полн		
мазанка	мазанки	S	жен	вин	мн								
где	где	ADVPRO											
он	он	SPRO	муж	им	ед					3-л			
жить	жил	V	муж		ед	несов	нп	прош	изъяв				
искусство	искусство	S	сред	вин	ед								
до	до	PR											
кой	коего	APRO	муж	вин	ед								
достигать	достиг	V	муж		ед	сов		прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
быть	было	V	сред		ед	несов	нп	прош	изъяв				
неимоверно	неимоверно	ADV											
и	и	CONJ											
если	если	CONJ											
б	б	PART											
он	он	SPRO	муж	им	ед					3-л			
вызываться	вызвался	V	муж		ед	сов	нп	прош	изъяв				
пуля	пулей	S	жен	твор	ед								
сбивать	сбить	V				сов	пе		инф				
груша	грушу	S	жен	вин	ед								
с	с	PR											
фуражка	фуражки	S	жен	вин	мн								
кто	кого	SPRO	муж	вин	ед								
б	б	PART											
то	то	SPRO	сред	вин	ед								
ни	ни	PART											
быть	было	V	сред		ед	несов	нп	прош	изъяв				
никто	никто	SPRO	муж	им	ед								
б	б	PART											
в	в	PR											
наш	нашем	APRO	муж	пр	ед								
полка	полку	S	жен	вин	ед								
не	не	PART											
усумниться	усумнился	V	муж		ед	сов	нп	прош	изъяв				
подставлять	подставить	V				сов	пе		инф				
он	ему	SPRO	муж	дат	ед					3-л			
свой	своей	APRO	жен	пр	ед								
голова	головы	S	жен	вин	мн								
разговор	разговор	S	муж	вин	ед								
между	между	PR											
мы	нами	SPRO		твор	мн					1-л			
касаться	касался	V	муж		ед	несов	нп	прош	изъяв				
часто	часто	ADV											
поединок	поединков	S	муж	род	мн								
сильвио	сильвио	S	муж	пр	мн								
так	так	ADVPRO											
называть	назову	V			ед	сов	пе	непрош	изъяв	1-л			
он	его	SPRO	муж	вин	ед					3-л			
никогда	никогда	ADVPRO											
в	в	PR											
он	него	SPRO	муж	вин	ед					3-л			
не	не	PART											
вмешиваться	вмешивался	V	муж		ед	несов	нп	прош	изъяв				
на	на	PR											
вопрос	вопрос	S	муж	вин	ед								
случаться	случалось	V	сред		ед	несов	нп	прош	изъяв				
ли	ли	PART											
он	ему	SPRO	муж	дат	ед					3-л			
драться	драться	V				несов	нп		инф				
отвечать	отвечал	V	муж		ед	несов	нп	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
сухо	сухо	ADV											
что	что	CONJ											
случаться	случалось	V	сред		ед	несов	нп	прош	изъяв				
но	но	CONJ											
в	в	PR											
подробность	подробности	S	жен	пр	ед								
не	не	PART											
входить	входил	V	муж		ед	несов	нп	прош	изъяв				
и	и	CONJ											
видно	видно	ADV											
быть	было	V	сред		ед	несов	нп	прош	изъяв				
что	что	CONJ											
таковой	таковые	APRO		им	мн								
вопрос	вопросы	S	муж	вин	мн								
быть	были	V			мн	несов	нп	прош	изъяв				
он	ему	SPRO	муж	дат	ед					3-л			
неприятный	неприятны	A			мн						кр		
мы	мы	SPRO		им	мн					1-л			
полагать	полагали	V			мн	несов	пе	прош	изъяв				
что	что	CONJ											
на	на	PR											
совесть	совести	S	жен	пр	ед								
он	его	SPRO	муж	вин	ед					3-л			
лежать	лежала	V	жен		ед	несов	нп	прош	изъяв				
какой-нибудь	какая-нибудь	APRO	жен	им	ед								
несчастный	несчастная	A	жен	им	ед						полн		
жертва	жертва	S	жен	им	ед								
его	его	APRO	жен	пр	мн								
ужасный	ужасного	A	муж	вин	ед						полн		
искусство	искусства	S	сред	вин	мн								
впрочем	впрочем	CONJ											
мы	нам	SPRO		дат	мн					1-л			
и	и	CONJ											
в	в	PR											
голова	голову	S	жен	вин	ед								
не	не	PART											
приходить	приходило	V	сред		ед	несов	нп	прош	изъяв				
подозревать	подозревать	V				несов	пе		инф				
в	в	PR											
он	нем	SPRO	муж	пр	ед					3-л			
что-нибудь	что-нибудь	SPRO	сред	вин	ед								
похожий	похожее	A	сред	вин	ед						полн		срав
на	на	PR											
робость	робость	S	жен	вин	ед								
быть	есть	V			ед	несов	нп	непрош	изъяв	3-л			
человек	люди	S	муж	им	мн								
кой	коих	APRO		пр	мн								
один	одна	APRO	жен	им	ед								
наружность	наружность	S	жен	вин	ед								
удалять	удаляет	V			ед	несов	пе	непрош	изъяв	3-л			
таковой	таковые	APRO		им	мн								
подозрение	подозрения	S	сред	вин	мн								
нечаянный	нечаянный	A	муж	вин	ед						полн		
случай	случай	S	муж	вин	ед								
весь	всех	APRO		пр	мн								
мы	нас	SPRO		пр	мн					1-л			
изумлять	изумил	V	муж		ед	сов	пе	прош	изъяв				
однажды	однажды	ADV											
человек	человек	S	муж	вин	мн								
десять	десять	NUM		вин									
наш	наших	APRO		пр	мн								
офицер	офицеров	S	муж	вин	мн								
обедать	обедали	V			мн	несов	нп	прош	изъяв				
у	у	PR											
сильвио	сильвио	S	муж	пр	мн								
пить	пили	V			мн	несов	пе	прош	изъяв				
по	по	PR											
обыкновенный	обыкновенному	A	муж	дат	ед						полн		
то	то	CONJ											
быть	есть	V			ед	несов	нп	непрош	изъяв	3-л			
очень	очень	ADV											
много	много	ADV											
после	после	PR											
обед	обеда	S	муж	род	ед								
становиться	стали	V			мн	сов	нп	прош	изъяв				
мы	мы	SPRO		им	мн					1-л			
уговаривать	уговаривать	V				несов	пе		инф				
хозяин	хозяина	S	муж	вин	ед								
прометать	прометать	V				сов			инф				
мы	нам	SPRO		дат	мн					1-л			
банк	банк	S	муж	вин	ед								
долго	долго	ADV											
он	он	SPRO	муж	им	ед					3-л			
отказываться	отказывался	V	муж		ед	несов	нп	прош	изъяв				
ибо	ибо	CONJ											
никогда	никогда	ADVPRO											
почти	почти	ADV											
не	не	PART											
играть	играл	V	муж		ед	несов	пе	прош	изъяв				
наконец	наконец	ADV											
велеть	велел	V	муж		ед	несов	нп	прош	изъяв				
подавать	подать	V				сов	пе		инф				
карта	карты	S	жен	вин	мн								
высыпать	высыпал	V	муж		ед	несов	пе	прош	изъяв				
на	на	PR											
стол	стол	S	муж	вин	ед								
полсотни	полсотни	S	муж	вин	мн								
червонец	червонцев	S	муж	род	мн								
и	и	CONJ											
садиться	сел	V	муж		ед	сов	нп	прош	изъяв				
метать	метать	V				несов			инф				
мы	мы	SPRO		им	мн					1-л			
окружать	окружили	V			мн	сов	пе	прош	изъяв				
он	его	SPRO	муж	вин	ед					3-л			
и	и	CONJ											
игра	игра	S	жен	им	ед								
завязываться	завязалась	V	жен		ед	сов	нп	прош	изъяв				
сильвио	сильвио	S	муж	пр	мн								
иметь	имел	V	муж		ед	несов	пе	прош	изъяв				
обыкновение	обыкновение	S	сред	вин	ед								
за	за	PR											
игра	игрою	S	жен	твор	ед								
хранить	хранить	V				несов	пе		инф				
совершать	совершенное	V	сред	вин	ед	сов	пе	прош	прич		полн	страд	
молчание	молчание	S	сред	вин	ед								
никогда	никогда	ADVPRO											
не	не	PART											
спорить	спорил	V	муж		ед	несов	нп	прош	изъяв				
и	и	CONJ											
не	не	PART											
объясняться	объяснялся	V	муж		ед	несов	нп	прош	изъяв				
если	если	CONJ											
понтер	понтеру	S	муж	дат	ед								
случаться	случалось	V	сред		ед	несов	нп	прош	изъяв				
обсчитываться	обсчитаться	V				сов	нп		инф				
то	то	CONJ											
он	он	SPRO	муж	им	ед					3-л			
тотчас	тотчас	ADV											
или	или	CONJ											
доплачивать	доплачивал	V	муж		ед	несов	пе	прош	изъяв				
достальное	достальное	S	сред	вин	ед								
или	или	CONJ											
записывать	записывал	V	муж		ед	несов	пе	прош	изъяв				
лишний	лишнее	A	сред	вин	ед						полн		
мы	мы	SPRO		им	мн					1-л			
уж	уж	PART											
это	это	SPRO	сред	вин	ед								
знать	знали	V			мн	несов	пе	прош	изъяв				
и	и	CONJ											
не	не	PART											
мешать	мешали	V			мн	несов	нп	прош	изъяв				
он	ему	SPRO	муж	дат	ед					3-л			
хозяйничать	хозяйничать	V				несов	нп		инф				
по-своему	по-своему	ADV											
но	но	CONJ											
между	между	PR											
мы	нами	SPRO		твор	мн					1-л			
находиться	находился	V	муж		ед	несов	нп	прош	изъяв				
офицер	офицер	S	муж	им	ед								
недавно	недавно	ADV											
к	к	PR											
мы	нам	SPRO		дат	мн					1-л			
перевести	переведенный	V	муж	вин	ед	сов		прош	прич		полн	страд	
он	он	SPRO	муж	им	ед					3-л			
играть	играя	V				несов	пе	непрош	деепр				
тут	тут	ADVPRO											
же	же	PART											
в	в	PR											
рассеянность	рассеянности	S	жен	пр	ед								
загибать	загнул	V	муж		ед	сов	пе	прош	изъяв				
лишний	лишний	A	муж	вин	ед						полн		
угол	угол	S	муж	вин	ед								
сильвио	сильвио	S	муж	пр	мн								
взять	взял	V	муж		ед	сов	пе	прош	изъяв				
мел	мел	S	муж	вин	ед								
и	и	CONJ											
уравнивать	уравнял	V	муж		ед	сов	пе	прош	изъяв				
счет	счет	S	муж	вин	ед								
по	по	PR											
свой	своему	APRO	муж	дат	ед								
обыкновение	обыкновению	S	сред	дат	ед								
офицер	офицер	S	муж	им	ед								
думать	думая	V				несов	нп	непрош	деепр				
что	что	CONJ											
он	он	SPRO	муж	им	ед					3-л			
ошибаться	ошибся	V	муж		ед	сов	нп	прош	изъяв				
пускаться	пустился	V	муж		ед	сов	нп	прош	изъяв				
в	в	PR											
объяснение	объяснения	S	сред	вин	мн								
сильвио	сильвио	S	муж	пр	мн								
молча	молча	ADV											
продолжать	продолжал	V	муж		ед	несов	пе	прош	изъяв				
метать	метать	V				несов			инф				
офицер	офицер	S	муж	им	ед								
потерять	потеряв	V				сов	пе	прош	деепр				
терпение	терпение	S	сред	вин	ед								
взять	взял	V	муж		ед	сов	пе	прош	изъяв				
щетка	щетку	S	жен	вин	ед								
и	и	CONJ											
стереть	стер	V	муж		ед	сов		прош	изъяв				
то	то	SPRO	сред	вин	ед								
что	что	CONJ											
казаться	казалось	V	сред		ед	несов	нп	прош	изъяв				
он	ему	SPRO	муж	дат	ед					3-л			
напрасно	напрасно	ADV											
записывать	записанным	V	муж	дат	мн	сов	пе	прош	прич		полн	страд	
сильвио	сильвио	S	муж	пр	мн								
взять	взял	V	муж		ед	сов	пе	прош	изъяв				
мел	мел	S	муж	вин	ед								
и	и	CONJ											
записывать	записал	V	муж		ед	сов	пе	прош	изъяв				
снова	снова	ADV											
офицер	офицер	S	муж	им	ед								
разгорячать	разгоряченный	V	муж	вин	ед	сов	пе	прош	прич		полн	страд	
вино	вином	S	сред	твор	ед								
игра	игрою	S	жен	твор	ед								
и	и	CONJ											
смех	смехом	S	муж	твор	ед								
товарищ	товарищей	S	муж	вин	мн								
почитать	почел	V	муж		ед	сов	пе	прош	изъяв				
себя	себя	SPRO		вин									
жестоко	жестоко	ADV											
обиженный	обиженным	A	муж	дат	мн						полн		
и	и	CONJ											
в	в	PR											
бешенство	бешенстве	S	сред	пр	ед								
схватывать	схватив	V				сов	пе	прош	деепр				
со	со	PR											
стол	стола	S	муж	род	ед								
медный	медный	A	муж	вин	ед						полн		
шандал	шандал	S	муж	вин	ед								
пускать	пустил	V	муж		ед	сов		прош	изъяв				
он	его	SPRO	муж	вин	ед					3-л			
в	в	PR											
сильвио	сильвио	S	муж	пр	мн								
который	который	APRO	муж	вин	ед								
едва	едва	ADV											
успевать	успел	V	муж		ед	сов	нп	прош	изъяв				
отклоняться	отклониться	V				сов	нп		инф				
от	от	PR											
удар	удара	S	муж	род	ед								
мы	мы	SPRO		им	мн					1-л			
смущаться	смутились	V			мн	сов	нп	прош	изъяв				
сильвио	сильвио	S	муж	пр	мн								
вставать	встал	V	муж		ед	сов	нп	прош	изъяв				
побледнеть	побледнев	V				сов	нп	прош	деепр				
от	от	PR											
злость	злости	S	жен	пр	ед								
и	и	CONJ											
с	с	PR											
сверкающий	сверкающими	A		твор	мн						полн		
глаз	глазами	S	муж	твор	мн								
сказать	сказал	V	муж		ед	сов	пе	прош	изъяв				
милостивый	милостивый	A	муж	вин	ед						полн		
государь	государь	S	муж	им	ед								
изволить	извольте	V			мн	сов	нп		пов	2-л			
выходить	выйти	V				сов	нп		инф				
и	и	CONJ											
благодарить	благодарите	V			мн	несов	пе	непрош	изъяв	2-л			
бог	бога	S	муж	вин	ед								
что	что	CONJ											
это	это	SPRO	сред	вин	ед								
случаться	случилось	V	сред		ед	сов	нп	прош	изъяв				
у	у	PR											
я	меня	SPRO		вин	ед					1-л			
в	в	PR											
дом	доме	S	муж	пр	ед								
мы	мы	SPRO		им	мн					1-л			
не	не	PART											
сомневаться	сомневались	V			мн	несов	нп	прош	изъяв				
в	в	PR											
последствие	последствиях	S	сред	пр	мн								
и	и	CONJ											
полагать	полагали	V			мн	несов	пе	прош	изъяв				
новый	нового	A	муж	вин	ед						полн		
товарищ	товарища	S	муж	вин	ед								
уже	уже	ADV											
убитый	убитым	A	муж	дат	мн						полн		
офицер	офицер	S	муж	им	ед								
выходить	вышел	V	муж		ед	сов	нп	прош	изъяв				
вон	вон	PART											
сказать	сказав	V				сов	пе	прош	деепр				
что	что	CONJ											
за	за	PR											
обида	обиду	S	жен	вин	ед								
готовый	готов	A	муж		ед						кр		
отвечать	отвечать	V				несов	нп		инф				
как	как	CONJ											
быть	будет	V			ед		нп	непрош	изъяв	3-л			
угодно	угодно	PART											
господин	господину	S	муж	дат	ед								
банкомет	банкомету	S	муж	дат	ед								
игра	игра	S	жен	им	ед								
продолжаться	продолжалась	V	жен		ед	несов	нп	прош	изъяв				
еще	еще	ADV											
несколько	несколько	NUM		им									
минута	минут	S	жен	род	мн								
но	но	CONJ											
чувствовать	чувствуя	V				несов	пе	непрош	деепр				
что	что	CONJ											
хозяин	хозяину	S	муж	дат	ед								
быть	было	V	сред		ед	несов	нп	прош	изъяв				
не	не	PART											
до	до	PR											
игра	игры	S	жен	вин	мн								
мы	мы	SPRO		им	мн					1-л			
отставать	отстали	V			мн	сов	нп	прош	изъяв				
один	один	APRO	муж	вин	ед								
за	за	PR											
другой	другим	APRO	муж	дат	мн								
и	и	CONJ											
разбредаться	разбрелись	V			мн	сов	нп	прош	изъяв				
по	по	PR											
квартира	квартирам	S	жен	дат	мн								
толковать	толкуя	V				несов	пе	непрош	деепр				
о	о	PR											
скорый	скорой	A	жен	пр	ед						полн		
ваканция	ваканции	S	жен	пр	ед								
на	на	PR											
другой	другой	APRO	жен	пр	ед								
день	день	S	муж	вин	ед								
в	в	PR											
манеж	манеже	S	муж	пр	ед								
мы	мы	SPRO		им	мн					1-л			
спрашивать	спрашивали	V			мн	несов	пе	прош	изъяв				
уже	уже	ADV											
живой	жив	A	муж		ед						кр		
ли	ли	PART											
еще	еще	ADV											
бедный	бедный	A	муж	вин	ед						полн		
поручик	поручик	S	муж	им	ед								
как	как	CONJ											
сам	сам	APRO	муж	вин	ед								
он	он	SPRO	муж	им	ед					3-л			
являться	явился	V	муж		ед	сов	нп	прош	изъяв				
между	между	PR											
мы	нами	SPRO		твор	мн					1-л			
мы	мы	SPRO		им	мн					1-л			
сделать	сделали	V			мн	сов	пе	прош	изъяв				
он	ему	SPRO	муж	дат	ед					3-л			
тот	тот	APRO	муж	вин	ед								
же	же	PART											
вопрос	вопрос	S	муж	вин	ед								
он	он	SPRO	муж	им	ед					3-л			
отвечать	отвечал	V	муж		ед	несов	нп	прош	изъяв				
что	что	CONJ											
об	об	PR											
сильвио	сильвио	S	муж	пр	мн								
он	он	SPRO	муж	им	ед					3-л			
не	не	PART											
иметь	имел	V	муж		ед	несов	пе	прош	изъяв				
еще	еще	ADV											
никакой	никакого	APRO	муж	вин	ед								
известие	известия	S	сред	вин	мн								
это	это	SPRO	сред	вин	ед								
мы	нас	SPRO		пр	мн					1-л			
удивлять	удивило	V	сред		ед	сов	пе	прош	изъяв				
мы	мы	SPRO		им	мн					1-л			
пойти	пошли	V			мн	сов	нп	прош	изъяв				
к	к	PR											
сильвио	сильвио	S	муж	пр	мн								
и	и	CONJ											
находить	нашли	V			мн	сов	пе	прош	изъяв				
он	его	SPRO	муж	вин	ед					3-л			
на	на	PR											
двор	дворе	S	муж	пр	ед								
сажать	сажающего	V	муж	вин	ед	несов	пе	непрош	прич		полн	действ	
пуля	пулю	S	жен	вин	ед								
на	на	PR											
пуля	пулю	S	жен	вин	ед								
в	в	PR											
туз	туза	S	муж	род	ед								
приклеивать	приклеенного	V	муж	вин	ед	сов	пе	прош	прич		полн	страд	
к	к	PR											
ворота	воротам	S		дат	мн								
он	он	SPRO	муж	им	ед					3-л			
принимать	принял	V	муж		ед	сов		прош	изъяв				
мы	нас	SPRO		пр	мн					1-л			
по	по	PR											
обыкновенный	обыкновенному	A	муж	дат	ед						полн		
ни	ни	PART											
слово	слова	S	сред	вин	мн								
не	не	PART											
говорить	говоря	V				несов	пе	непрош	деепр				
о	о	PR											
вчерашний	вчерашнем	A	муж	пр	ед						полн		
происшествие	происшествии	S	сред	пр	ед								
проходить	прошло	V	сред		ед	сов	нп	прош	изъяв				
три	три	NUM		им									
день	дня	S	муж	род	ед								
поручик	поручик	S	муж	им	ед								
быть	был	V	муж		ед	несов	нп	прош	изъяв				
еще	еще	ADV											
живой	жив	A	муж		ед						кр		
мы	мы	SPRO		им	мн					1-л			
с	с	PR											
удивление	удивлением	S	сред	твор	ед								
спрашивать	спрашивали	V			мн	несов	пе	прош	изъяв				
неужели	неужели	PART											
сильвио	сильвио	S	муж	пр	мн								
не	не	PART											
быть	будет	V			ед		нп	непрош	изъяв	3-л			
драться	драться	V				несов	нп		инф				
сильвио	сильвио	S	муж	пр	мн								
не	не	PART											
драться	дрался	V	муж		ед	несов	нп	прош	изъяв				
он	он	SPRO	муж	им	ед					3-л			
довольствоваться	довольствовался	V	муж		ед	несов	нп	прош	изъяв				
очень	очень	ADV											
легкий	легким	A	муж	дат	мн						полн		
объяснение	объяснением	S	сред	твор	ед								
и	и	CONJ											
помириться	помирился	V	муж		ед	сов	нп	прош	изъяв				
это	это	SPRO	сред	вин	ед								
быть	было	V	сред		ед	несов	нп	прош	изъяв				
чрезвычайно	чрезвычайно	ADV											
